SigU,SigV,SigW,SigT,ustar,wT,ui,vi,V,L,z_L1,CD,Tstar,norm_sigU,norm_sigV,norm_sigW,norm_sigT,Tavg,L,z_L2
0.255,0.236,0.124,0.243,0.088,0.010,-0.189,0.241,0.415,-0.519,-5.164,0.045,0.114,2.901,2.685,1.411,2.132,29.987,-5.247,-0.511
0.240,0.229,0.106,0.275,0.093,0.012,-0.219,0.272,0.417,-0.571,-4.694,0.049,0.124,2.595,2.476,1.146,2.218,32.557,-5.362,-0.500
0.329,0.160,0.106,0.324,0.082,0.008,-0.366,0.166,0.448,-0.524,-5.115,0.033,0.096,4.017,1.954,1.294,3.364,29.532,-5.371,-0.499
0.236,0.215,0.106,0.186,0.072,0.005,-0.273,0.317,0.479,-0.530,-5.057,0.023,0.073,3.278,2.986,1.472,2.555,29.197,-5.488,-0.488
0.281,0.182,0.109,0.200,0.091,0.011,-0.348,0.321,0.511,-0.534,-5.019,0.032,0.116,3.078,1.993,1.194,1.724,29.185,-5.532,-0.484
0.375,0.210,0.099,0.170,0.075,0.006,-0.340,0.089,0.432,-0.585,-4.581,0.030,0.076,5.020,2.811,1.320,2.246,31.115,-5.721,-0.468
0.221,0.224,0.096,0.140,0.066,0.004,-0.286,0.273,0.452,-0.530,-5.057,0.022,0.058,3.333,3.379,1.442,2.401,27.546,-5.786,-0.463
0.272,0.175,0.117,0.238,0.085,0.008,-0.291,0.174,0.392,-0.589,-4.550,0.047,0.095,3.196,2.056,1.375,2.495,30.452,-5.872,-0.456
0.402,0.334,0.113,0.323,0.075,0.006,-0.303,0.202,0.507,-0.603,-4.444,0.022,0.075,5.332,4.430,1.499,4.336,31.022,-5.912,-0.453
0.289,0.256,0.120,0.274,0.093,0.010,-0.129,0.184,0.484,-0.598,-4.482,0.037,0.111,3.121,2.765,1.296,2.468,30.144,-6.017,-0.445
0.270,0.315,0.112,0.201,0.094,0.011,-0.248,0.284,0.505,-0.655,-4.092,0.035,0.112,2.872,3.351,1.191,1.795,32.801,-6.109,-0.439
0.271,0.229,0.089,0.246,0.078,0.006,-0.234,0.243,0.455,-0.597,-4.489,0.030,0.076,3.457,2.921,1.140,3.241,28.925,-6.235,-0.430
0.377,0.147,0.105,0.215,0.080,0.006,-0.504,0.184,0.576,-0.622,-4.309,0.020,0.079,4.689,1.828,1.306,2.722,29.821,-6.319,-0.424
0.560,0.253,0.130,0.292,0.098,0.011,-0.320,0.129,0.605,-0.643,-4.168,0.026,0.116,5.714,2.582,1.327,2.517,30.561,-6.390,-0.419
0.148,0.447,0.115,0.229,0.101,0.012,-0.042,0.223,0.471,-0.641,-4.181,0.046,0.123,1.465,4.426,1.139,1.862,30.272,-6.425,-0.417
0.278,0.290,0.106,0.108,0.067,0.004,-0.034,0.502,0.578,-0.610,-4.393,0.013,0.053,4.162,4.341,1.587,2.034,28.507,-6.455,-0.415
0.173,0.256,0.091,0.135,0.074,0.005,-0.157,0.313,0.431,-0.639,-4.194,0.030,0.064,2.335,3.455,1.223,2.103,29.335,-6.589,-0.407
0.270,0.224,0.130,0.268,0.112,0.017,-0.068,0.206,0.388,-0.675,-3.970,0.083,0.148,2.411,2.000,1.161,1.811,31.107,-6.602,-0.406
0.373,0.219,0.118,0.187,0.093,0.009,-0.368,0.185,0.481,-0.672,-3.988,0.037,0.101,4.019,2.360,1.272,1.851,30.917,-6.609,-0.405
0.339,0.288,0.140,0.355,0.111,0.015,-0.269,0.243,0.501,-0.699,-3.834,0.049,0.136,3.054,2.595,1.261,2.610,30.485,-6.962,-0.385
